experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,role_mask,fuel_profile,spot_count,players,scope,authority
SCORE-SERVICE-EVENT-SET-CLOSURE-295,development,general,10100000,3,3375,5000,fixed,1,low,0,8,service-event-set-closure,fresh-development
SCORE-SERVICE-EVENT-SET-CLOSURE-295,development,general,10100100,3,3375,5000,fixed,2,generated,0,9,service-event-set-closure,fresh-development
SCORE-SERVICE-EVENT-SET-CLOSURE-295,development,multiteam-12,10101000,3,3375,5000,fixed,4,low,12,10,service-event-set-closure,fresh-development
SCORE-SERVICE-EVENT-SET-CLOSURE-295,development,multiteam-12,10101100,3,3375,5000,fixed,8,high,12,8,service-event-set-closure,fresh-development
SCORE-SERVICE-EVENT-SET-CLOSURE-295,development,multiteam-16,10102000,3,3375,5000,fixed,1,default,16,9,service-event-set-closure,fresh-development
SCORE-SERVICE-EVENT-SET-CLOSURE-295,development,multiteam-16,10102100,3,3375,5000,fixed,16,low,16,10,service-event-set-closure,fresh-development
SCORE-SERVICE-EVENT-SET-CLOSURE-295,development,multiteam-24,10103000,2,3375,5000,fixed,2,high,24,8,service-event-set-closure,fresh-development
SCORE-SERVICE-EVENT-SET-CLOSURE-295,development,multiteam-24,10103100,2,3375,5000,fixed,32,default,24,9,service-event-set-closure,fresh-development
SCORE-SERVICE-EVENT-SET-CLOSURE-295,development,multiteam-32,10104000,2,3375,5000,fixed,4,low,30,10,service-event-set-closure,fresh-development
SCORE-SERVICE-EVENT-SET-CLOSURE-295,development,multiteam-32,10104100,2,3375,5000,fixed,64,high,30,8,service-event-set-closure,fresh-development
SCORE-SERVICE-EVENT-SET-CLOSURE-295,development,multiteam-24,10105000,2,3375,5000,fixed,8,generated,18,10,service-event-set-closure,fresh-development
SCORE-SERVICE-EVENT-SET-CLOSURE-295,development,multiteam-16,10105100,2,3375,5000,fixed,2,generated,16,9,service-event-set-closure,fresh-development
SCORE-SERVICE-EVENT-SET-CLOSURE-295,holdout,general,10110000,5,3375,5000,fixed,1,high,0,10,service-event-set-closure,sealed-holdout
SCORE-SERVICE-EVENT-SET-CLOSURE-295,holdout,general,10110100,5,3375,5000,fixed,2,default,0,8,service-event-set-closure,sealed-holdout
SCORE-SERVICE-EVENT-SET-CLOSURE-295,holdout,multiteam-12,10111000,5,3375,5000,fixed,4,low,12,9,service-event-set-closure,sealed-holdout
SCORE-SERVICE-EVENT-SET-CLOSURE-295,holdout,multiteam-12,10111100,5,3375,5000,fixed,8,generated,12,10,service-event-set-closure,sealed-holdout
SCORE-SERVICE-EVENT-SET-CLOSURE-295,holdout,multiteam-16,10112000,5,3375,5000,fixed,16,default,16,8,service-event-set-closure,sealed-holdout
SCORE-SERVICE-EVENT-SET-CLOSURE-295,holdout,multiteam-16,10112100,5,3375,5000,fixed,32,high,16,9,service-event-set-closure,sealed-holdout
SCORE-SERVICE-EVENT-SET-CLOSURE-295,holdout,multiteam-24,10113000,4,3375,5000,fixed,1,low,24,10,service-event-set-closure,sealed-holdout
SCORE-SERVICE-EVENT-SET-CLOSURE-295,holdout,multiteam-24,10113100,4,3375,5000,fixed,64,generated,20,8,service-event-set-closure,sealed-holdout
SCORE-SERVICE-EVENT-SET-CLOSURE-295,holdout,multiteam-32,10114000,4,3375,5000,fixed,2,default,30,9,service-event-set-closure,sealed-holdout
SCORE-SERVICE-EVENT-SET-CLOSURE-295,holdout,multiteam-32,10114100,4,3375,5000,fixed,128,high,30,10,service-event-set-closure,sealed-holdout
SCORE-SERVICE-EVENT-SET-CLOSURE-295,holdout,multiteam-24,10115000,4,3375,5000,fixed,4,default,18,8,service-event-set-closure,sealed-holdout
SCORE-SERVICE-EVENT-SET-CLOSURE-295,holdout,multiteam-16,10115100,4,3375,5000,fixed,8,low,16,10,service-event-set-closure,sealed-holdout
