experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,public_window_ms,scope,authority
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-easy,9550000,8,3375,5000,fixed,generated,12,5000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-easy,9550000,8,3375,5000,fixed,generated,12,15000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-easy,9550100,8,3375,5000,deadline,generated,12,5000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-easy,9550100,8,3375,5000,deadline,generated,12,15000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-medium,9551000,8,3375,5000,fixed,generated,18,5000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-medium,9551000,8,3375,5000,fixed,generated,18,15000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-medium,9551100,8,3375,5000,deadline,generated,18,5000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-medium,9551100,8,3375,5000,deadline,generated,18,15000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-hard,9552000,8,3375,5000,fixed,generated,24,5000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-hard,9552000,8,3375,5000,fixed,generated,24,15000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-hard,9552100,8,3375,5000,deadline,generated,24,5000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-hard,9552100,8,3375,5000,deadline,generated,24,15000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-very-hard,9553000,8,3375,5000,fixed,generated,30,5000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-very-hard,9553000,8,3375,5000,fixed,generated,30,15000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-very-hard,9553100,8,3375,5000,deadline,generated,30,5000,crossed-window-difficulty-attribution,fresh-development
ATTR-F0-WINDOW-DIFFICULTY-CROSS-241,development,stratified-very-hard,9553100,8,3375,5000,deadline,generated,30,15000,crossed-window-difficulty-attribution,fresh-development
