experiment_id,split,phase,tier,map_side,days,agents,steps_per_day,outer_ms,first_ms,fuel_profile,first_seed,count,purpose,authority
DEADLINE-STRATIFIED-ANYTIME-184,consumed,direct-value,very-hard,32,10,8,100,15000,5000,default,4310000,1,reproduce-six-serving-direct-long-upside,opened-166
DEADLINE-STRATIFIED-ANYTIME-184,consumed,direct-value,very-hard,32,10,8,100,15000,5000,low,4310100,1,reproduce-one-serving-direct-long-upside,opened-166
DEADLINE-STRATIFIED-ANYTIME-184,consumed,direct-value,very-hard,32,10,8,100,15000,5000,high,4310200,1,reproduce-direct-long-tie,opened-166
DEADLINE-STRATIFIED-ANYTIME-184,consumed,protected-proof,very-hard,32,10,8,100,15000,5000,default,4411000,2,reconstruct-168-starved-large-lane,opened-168
DEADLINE-STRATIFIED-ANYTIME-184,consumed,protected-proof,very-hard,32,10,8,100,15000,5000,low,4411100,2,reconstruct-168-starved-large-lane,opened-168
DEADLINE-STRATIFIED-ANYTIME-184,consumed,protected-proof,very-hard,32,10,8,100,15000,5000,high,4411200,2,reconstruct-168-starved-large-lane,opened-168
DEADLINE-STRATIFIED-ANYTIME-184,development,stratified-anytime,easy,14,5,4,100,60000,5000,default,4510000,6,estimate-public-config-boundary,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,development,stratified-anytime,easy,14,5,4,100,60000,5000,low,4510100,6,estimate-public-config-boundary,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,development,stratified-anytime,easy,14,5,4,100,60000,5000,high,4510200,6,estimate-public-config-boundary,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,development,stratified-anytime,medium,20,7,4,100,45000,5000,default,4511000,6,estimate-public-config-boundary,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,development,stratified-anytime,medium,20,7,4,100,45000,5000,low,4511100,6,estimate-public-config-boundary,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,development,stratified-anytime,medium,20,7,4,100,45000,5000,high,4511200,6,estimate-public-config-boundary,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,development,stratified-anytime,hard,26,8,6,100,45000,5000,default,4512000,6,estimate-public-config-boundary,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,development,stratified-anytime,hard,26,8,6,100,45000,5000,low,4512100,6,estimate-public-config-boundary,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,development,stratified-anytime,hard,26,8,6,100,45000,5000,high,4512200,6,estimate-public-config-boundary,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,development,stratified-anytime,very-hard,32,10,8,100,45000,5000,default,4513000,6,estimate-public-config-boundary,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,development,stratified-anytime,very-hard,32,10,8,100,45000,5000,low,4513100,6,estimate-public-config-boundary,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,development,stratified-anytime,very-hard,32,10,8,100,45000,5000,high,4513200,6,estimate-public-config-boundary,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,development,budget-response,very-hard,32,10,8,100,15000,5000,default,4514000,6,find-minimum-useful-public-slack,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,development,budget-response,very-hard,32,10,8,100,30000,5000,default,4514000,6,find-minimum-useful-public-slack,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,development,budget-response,very-hard,32,10,8,100,45000,5000,default,4514000,6,find-minimum-useful-public-slack,fresh-development
DEADLINE-STRATIFIED-ANYTIME-184,holdout,stratified-anytime,easy,14,5,4,100,60000,5000,all,4520000,18,paired-wtl-tier-gain-loss-tail,sealed
DEADLINE-STRATIFIED-ANYTIME-184,holdout,stratified-anytime,medium,20,7,4,100,45000,5000,all,4521000,18,paired-wtl-tier-gain-loss-tail,sealed
DEADLINE-STRATIFIED-ANYTIME-184,holdout,stratified-anytime,hard,26,8,6,100,45000,5000,all,4522000,18,paired-wtl-tier-gain-loss-tail,sealed
DEADLINE-STRATIFIED-ANYTIME-184,holdout,stratified-anytime,very-hard,32,10,8,100,45000,5000,all,4523000,18,paired-wtl-tier-gain-loss-tail,sealed
DEADLINE-STRATIFIED-ANYTIME-184,btc,transport-resubmit,public-match,0,0,0,0,0,5000,native,0,1,confirm-last-valid-overwrite-and-target-host-latency,btc-authoritative
