experiment_id,split,fixture_class,seed,family,fuel_regime,width,height,days,steps_per_day,role_lanes,udon_budget_ms,peer_budget_ticks,peer_tick_us_set,peer_mode,judge,traffic_model,peer_repo,peer_commit
ATTR-OPPONENT-QUOTA-171,development,generated-small,171000,balanced,generated,8,8,4,generated,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,development,generated-btc-large,171102,balanced,low,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,development,generated-btc-large,171204,balanced,default,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,development,generated-btc-highfuel,171306,balanced,high,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-small,171006,balanced,generated,8,8,4,generated,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-small,171007,rare-brand,generated,8,8,4,generated,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-small,171008,threshold-corridor,generated,8,8,4,generated,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-small,171009,fuel-tight,generated,8,8,4,generated,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-small,171010,high-stock,generated,8,8,4,generated,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-small,171011,overnight,generated,8,8,5,generated,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
