experiment_id,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,scope,authority
ATTR-SPARSE-ROUTE-PREVALENCE-249,general,9650000,2,3375,5000,fixed,low,0,8,sparse50000-vs-parent,fresh-official-domain-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-249,general,9650100,2,3375,5000,deadline,generated,0,9,sparse50000-vs-parent,fresh-official-domain-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-249,multiteam-12,9651000,2,3375,5000,fixed,low,12,10,sparse50000-vs-parent,fresh-official-domain-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-249,multiteam-12,9651100,2,3375,5000,deadline,default,12,8,sparse50000-vs-parent,fresh-official-domain-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-249,multiteam-16,9652000,2,3375,5000,fixed,low,16,9,sparse50000-vs-parent,fresh-official-domain-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-249,multiteam-16,9652100,2,3375,5000,deadline,generated,18,10,sparse50000-vs-parent,fresh-official-domain-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-249,multiteam-24,9653000,2,3375,5000,fixed,default,24,8,sparse50000-vs-parent,fresh-official-domain-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-249,multiteam-24,9653100,2,3375,5000,deadline,high,24,9,sparse50000-vs-parent,fresh-official-domain-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-249,multiteam-32,9654000,2,3375,5000,fixed,low,30,10,sparse50000-vs-parent,fresh-official-domain-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-249,multiteam-32,9654100,2,3375,5000,deadline,generated,30,8,sparse50000-vs-parent,fresh-official-domain-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-249,multiteam-24,9655000,2,3375,5000,fixed,high,18,10,sparse50000-vs-parent,fresh-official-domain-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-249,multiteam-16,9655100,2,3375,5000,deadline,default,18,9,sparse50000-vs-parent,fresh-official-domain-attribution
