experiment_id,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,scope,authority
ATTR-SPARSE-ROUTE-PREVALENCE-247,general,9620000,2,3375,5000,fixed,low,0,8,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-247,general,9620100,2,3375,5000,deadline,generated,0,9,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-247,multiteam-12,9621000,2,3375,5000,fixed,low,12,10,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-247,multiteam-12,9621100,2,3375,5000,deadline,high,12,8,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-247,multiteam-16,9622000,2,3375,5000,fixed,default,16,9,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-247,multiteam-16,9622100,2,3375,5000,deadline,low,16,10,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-247,multiteam-24,9623000,2,3375,5000,fixed,high,24,8,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-247,multiteam-24,9623100,2,3375,5000,deadline,default,24,9,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-247,multiteam-32,9624000,2,3375,5000,fixed,low,30,10,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-247,multiteam-32,9624100,2,3375,5000,deadline,high,30,8,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-247,multiteam-24,9625000,2,3375,5000,fixed,generated,18,10,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-247,multiteam-16,9625100,2,3375,5000,deadline,generated,16,8,sparse50000-vs-parent,fresh-attribution
