experiment_id,split,family,fuel_profile,first_seed,count,agent_count,spot_count,day_count,terminal_day,role_mode,oracle_scope
CEILING-ORACLE-070,development,balanced,low,1200000,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,balanced,low,1200002,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,rare-brand,low,1200100,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,rare-brand,low,1200102,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,threshold-corridor,low,1200200,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,threshold-corridor,low,1200202,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,fuel-tight,low,1200300,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,fuel-tight,low,1200302,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,high-stock,low,1200400,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,high-stock,low,1200402,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,overnight,low,1200500,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,overnight,low,1200502,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,balanced,default,1210000,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,balanced,default,1210002,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,rare-brand,default,1210100,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,rare-brand,default,1210102,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,threshold-corridor,default,1210200,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,threshold-corridor,default,1210202,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,fuel-tight,default,1210300,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,fuel-tight,default,1210302,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,high-stock,default,1210400,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,high-stock,default,1210402,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,overnight,default,1210500,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,overnight,default,1210502,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,balanced,high,1220000,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,balanced,high,1220002,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,rare-brand,high,1220100,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,rare-brand,high,1220102,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,threshold-corridor,high,1220200,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,threshold-corridor,high,1220202,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,fuel-tight,high,1220300,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,fuel-tight,high,1220302,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,high-stock,high,1220400,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,high-stock,high,1220402,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,development,overnight,high,1220500,2,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
CEILING-ORACLE-070,holdout,overnight,high,1220502,6,4,8,5,5,all-patrol,complete-terminal-resource-team-dp
