experiment_id,split,fixture_class,seed,family,fuel_regime,width,height,days,steps_per_day,role_lanes,udon_budget_ms,peer_mode,judge,traffic_model,execution_order,peer_repo,peer_commit
ATTR-OPPONENT-CEILING-170,preflight,generated-small,169998,balanced,generated,8,8,4,generated,fixed,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,udon-first,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-small,170004,balanced,generated,8,8,4,generated,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-small,170005,rare-brand,generated,8,8,4,generated,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-small,170006,threshold-corridor,generated,8,8,4,generated,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-small,170007,fuel-tight,generated,8,8,4,generated,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-small,170008,high-stock,generated,8,8,4,generated,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-small,170009,overnight,generated,8,8,5,generated,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-large,170100,balanced,low,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-large,170101,rare-brand,low,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-large,170102,threshold-corridor,low,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-large,170103,fuel-tight,low,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-large,170104,high-stock,low,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
