experiment_id,split,fixture_class,seed,family,fuel_regime,width,height,days,steps_per_day,role_lanes,solver_budget_ms,judge,traffic_model,execution_order,peer_repo,peer_commit
ATTR-OPPONENT-169,preflight,generated-small,165996,balanced,generated,8,8,4,generated,fixed,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,udon-first,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-small,166002,balanced,generated,8,8,4,generated,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-small,166003,rare-brand,generated,8,8,4,generated,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-small,166004,threshold-corridor,generated,8,8,4,generated,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-small,166005,fuel-tight,generated,8,8,4,generated,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-small,166006,high-stock,generated,8,8,4,generated,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-small,166007,overnight,generated,8,8,5,generated,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-large,166098,balanced,low,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-large,166099,rare-brand,low,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-large,166100,threshold-corridor,low,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-large,166101,fuel-tight,low,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-large,166102,high-stock,low,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-large,166103,overnight,low,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-large,166200,balanced,default,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-large,166201,rare-brand,default,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-large,166202,threshold-corridor,default,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-large,166203,fuel-tight,default,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-large,166204,high-stock,default,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-large,166205,overnight,default,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-highfuel,166302,balanced,high,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-highfuel,166303,rare-brand,high,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-highfuel,166304,threshold-corridor,high,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-highfuel,166305,fuel-tight,high,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-highfuel,166306,high-stock,high,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-169,holdout,generated-btc-highfuel,166307,overnight,high,32,32,10,100,fixed-and-native,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
