experiment_id,split,source,tier,map_side,days,agents,spot_counts,fuel_profiles,role_modes,first_seed,count,scope,authority
PERF-DAY-MASTER-DEDUP-195,equivalence,complete-master,all,0,0,0,configured,configured,fixed,0,1,key-collision-candidate-stable-id-score-plan-and-diagnostics,development
PERF-DAY-MASTER-DEDUP-195,equivalence,archived-btc,all,0,0,0,configured,configured,recorded,0,37,replay-validity-and-transition-reconciliation,opened-archive
PERF-DAY-MASTER-DEDUP-195,development,new-stratified,easy,14,5,4,12|14,low|default|high,fixed|native,4790000,12,parent-versus-day-only-flat-dedup,fresh-development
PERF-DAY-MASTER-DEDUP-195,development,new-stratified,medium,20,7,4,12|18,low|default|high,fixed|native,4791000,12,parent-versus-day-only-flat-dedup,fresh-development
PERF-DAY-MASTER-DEDUP-195,development,new-stratified,hard,26,8,6,14|18|24,low|default|high,fixed|native,4792000,18,parent-versus-day-only-flat-dedup,fresh-development
PERF-DAY-MASTER-DEDUP-195,development,new-stratified,very-hard,32,10,8,18|24|30,low|default|high,fixed|native,4793000,18,parent-versus-day-only-flat-dedup,fresh-development
PERF-DAY-MASTER-DEDUP-195,holdout,new-stratified,easy,14,5,4,12|14,low|default|high,fixed|native,4800000,12,paired-equivalence-score-and-tail,sealed
PERF-DAY-MASTER-DEDUP-195,holdout,new-stratified,medium,20,7,4,12|18,low|default|high,fixed|native,4801000,12,paired-equivalence-score-and-tail,sealed
PERF-DAY-MASTER-DEDUP-195,holdout,new-stratified,hard,26,8,6,14|18|24,low|default|high,fixed|native,4802000,18,paired-equivalence-score-and-tail,sealed
PERF-DAY-MASTER-DEDUP-195,holdout,new-stratified,very-hard,32,10,8,18|24|30,low|default|high,fixed|native,4803000,18,paired-equivalence-score-and-tail,sealed
PERF-DAY-MASTER-DEDUP-195,btc,target-host,public-match,0,0,0,configured,configured,native,0,1,day-master-throughput-response-score-and-lifecycle,btc-authoritative
