experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,scope
SCORE-TANKER-CARAVAN-152,development,split-duty,low,4,3200100,1,3,3,3,two-patrol-one-tanker,consumed-exact-anchor
SCORE-TANKER-CARAVAN-152,development,rendezvous-chain,low,4,3290000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,development,split-duty,low,4,3290100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,development,stock-cycle,low,4,3290200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,development,rare-return,low,4,3290300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,development,rendezvous-chain,default,4,3300000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,development,split-duty,default,4,3300100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,development,stock-cycle,default,4,3300200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,development,rare-return,default,4,3300300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,development,rendezvous-chain,high,4,3310000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,development,split-duty,high,4,3310100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,development,stock-cycle,high,4,3310200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,development,rare-return,high,4,3310300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,holdout,rendezvous-chain,low,4,3320000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,holdout,split-duty,low,4,3320100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,holdout,stock-cycle,low,4,3320200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,holdout,rare-return,low,4,3320300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,holdout,rendezvous-chain,default,4,3330000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,holdout,split-duty,default,4,3330100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,holdout,stock-cycle,default,4,3330200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,holdout,rare-return,default,4,3330300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,holdout,rendezvous-chain,high,4,3340000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,holdout,split-duty,high,4,3340100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,holdout,stock-cycle,high,4,3340200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-152,holdout,rare-return,high,4,3340300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
